0,2000.0,0.0
1,2000.0,0.0
2,2000.0,0.0
3,2000.0,0.0
4,2000.0,0.0
5,2000.0,0.0
6,2000.0,0.0
7,91.0,0.9545
8,91.0,0.9545
9,91.0,0.9545
10,64.0,0.968
11,91.0,0.9545
12,64.0,0.968
13,64.0,0.968
14,64.0,0.968
15,91.0,0.9545
16,91.0,0.9545
17,64.0,0.968
18,91.0,0.9545
19,91.0,0.9545
20,64.0,0.968
21,64.0,0.968
22,91.0,0.9545
23,91.0,0.9545
24,64.0,0.968
25,91.0,0.9545
26,91.0,0.9545
27,64.0,0.968
28,91.0,0.9545
29,64.0,0.968
30,64.0,0.968
31,64.0,0.968
32,64.0,0.968
33,64.0,0.968
34,91.0,0.9545
35,64.0,0.968
36,64.0,0.968
37,64.0,0.968
38,91.0,0.9545
39,91.0,0.9545
40,64.0,0.968
41,64.0,0.968
42,64.0,0.968
43,91.0,0.9545
44,91.0,0.9545
45,64.0,0.968
46,64.0,0.968
47,64.0,0.968
48,64.0,0.968
49,91.0,0.9545
50,64.0,0.968
51,64.0,0.968
52,64.0,0.968
53,91.0,0.9545
54,64.0,0.968
55,91.0,0.9545
56,91.0,0.9545
57,64.0,0.968
58,91.0,0.9545
59,64.0,0.968
60,64.0,0.968
61,91.0,0.9545
62,91.0,0.9545
63,91.0,0.9545
64,64.0,0.968
65,64.0,0.968
66,91.0,0.9545
67,91.0,0.9545
68,64.0,0.968
69,91.0,0.9545
70,64.0,0.968
71,91.0,0.9545
72,91.0,0.9545
73,91.0,0.9545
74,64.0,0.968
75,64.0,0.968
76,91.0,0.9545
77,91.0,0.9545
78,91.0,0.9545
79,64.0,0.968
80,91.0,0.9545
81,64.0,0.968
82,64.0,0.968
83,64.0,0.968
84,91.0,0.9545
85,91.0,0.9545
86,91.0,0.9545
87,64.0,0.968
88,64.0,0.968
89,91.0,0.9545
90,91.0,0.9545
91,91.0,0.9545
92,64.0,0.968
93,91.0,0.9545
94,64.0,0.968
95,91.0,0.9545
96,64.0,0.968
97,91.0,0.9545
98,91.0,0.9545
99,64.0,0.968
100,91.0,0.9545
